Time	LH_AnkleZ	LH_HipZ	LH_Knee	
0.009	-0.2014202	-0.3446864	-0.08192316	
0.00905	-0.2023339	-0.3461615	-0.08238834	
0.009099999	-0.2032455	-0.3476324	-0.08285319	
0.009149999	-0.2041552	-0.3490991	-0.0833177	
0.0092	-0.2050629	-0.3505618	-0.08378188	
0.00925	-0.2059686	-0.3520203	-0.08424571	
0.0093	-0.2068723	-0.3534747	-0.0847092	
0.00935	-0.2077741	-0.3549251	-0.08517236	
0.0094	-0.2086739	-0.3563714	-0.08563517	
0.00945	-0.2095717	-0.3578136	-0.08609764	
0.0095	-0.2104676	-0.3592518	-0.08655977	
0.00955	-0.2113615	-0.3606859	-0.08702154	
0.0096	-0.2122536	-0.362116	-0.08748297	
0.009649999	-0.2131437	-0.3635421	-0.08794405	
0.009699999	-0.2140318	-0.3649641	-0.08840478	
0.00975	-0.2149181	-0.3663822	-0.08886517	
0.0098	-0.2158024	-0.3677963	-0.0893252	
0.00985	-0.2166849	-0.3692064	-0.08978488	
0.0099	-0.2175655	-0.3706125	-0.0902442	
0.00995	-0.2184441	-0.3720147	-0.09070317	
0.01	-0.2193209	-0.3734129	-0.09116179	
0.01005	-0.2201959	-0.3748072	-0.09162006	
0.0101	-0.2210689	-0.3761976	-0.09207796	
0.01015	-0.2219401	-0.3775841	-0.09253551	
0.0102	-0.2228095	-0.3789666	-0.09299271	
0.01025	-0.223677	-0.3803453	-0.09344954	
0.0103	-0.2245426	-0.38172	-0.09390602	
0.01035	-0.2254065	-0.3830909	-0.09436214	
0.0104	-0.2262685	-0.384458	-0.0948179	
0.01045	-0.2271287	-0.3858211	-0.0952733	
0.0105	-0.2279871	-0.3871805	-0.09572835	
0.01055	-0.2288436	-0.3885359	-0.09618302	
0.0106	-0.2296984	-0.3898876	-0.09663735	
0.01065	-0.2305514	-0.3912355	-0.0970913	
0.0107	-0.2314026	-0.3925795	-0.0975449	
0.01075	-0.232252	-0.3939198	-0.09799814	
0.0108	-0.2330997	-0.3952562	-0.09845101	
0.01085	-0.2339455	-0.3965889	-0.09890353	
0.0109	-0.2347897	-0.3979178	-0.09935568	
0.01095	-0.235632	-0.399243	-0.09980747	
0.011	-0.2364727	-0.4005644	-0.1002589	
0.01105	-0.2373116	-0.401882	-0.10071	
0.0111	-0.2381487	-0.403196	-0.1011607	
0.01115	-0.2389842	-0.4045062	-0.101611	
0.0112	-0.2398179	-0.4058127	-0.102061	
0.01125	-0.2406499	-0.4071155	-0.1025106	
0.0113	-0.2414802	-0.4084146	-0.1029598	
0.01135	-0.2423088	-0.40971	-0.1034087	
0.0114	-0.2431357	-0.4110017	-0.1038573	
0.01145	-0.2439609	-0.4122898	-0.1043054	
0.0115	-0.2447845	-0.4135742	-0.1047532	
0.01155	-0.2456063	-0.414855	-0.1052007	
0.0116	-0.2464265	-0.4161322	-0.1056477	
0.01165	-0.2472451	-0.4174057	-0.1060945	
0.0117	-0.248062	-0.4186755	-0.1065408	
0.01175	-0.2488772	-0.4199418	-0.1069868	
0.0118	-0.2496908	-0.4212045	-0.1074324	
0.01185	-0.2505028	-0.4224636	-0.1078777	
0.0119	-0.2513131	-0.423719	-0.1083226	
0.01195	-0.2521218	-0.424971	-0.1087672	
0.012	-0.2529289	-0.4262193	-0.1092113	
0.01205	-0.2537344	-0.4274641	-0.1096552	
0.0121	-0.2545383	-0.4287053	-0.1100986	
0.01215	-0.2553406	-0.429943	-0.1105417	
0.0122	-0.2561413	-0.4311772	-0.1109845	
0.01225	-0.2569404	-0.4324078	-0.1114269	
0.0123	-0.2577379	-0.4336349	-0.1118689	
0.01235	-0.2585339	-0.4348586	-0.1123106	
0.0124	-0.2593283	-0.4360787	-0.1127519	
0.01245	-0.2601211	-0.4372953	-0.1131928	
0.0125	-0.2609124	-0.4385084	-0.1136334	
0.01255	-0.2617022	-0.4397181	-0.1140737	
0.0126	-0.2624904	-0.4409243	-0.1145136	
0.01265	-0.263277	-0.442127	-0.1149531	
0.0127	-0.2640622	-0.4433263	-0.1153923	
0.01275	-0.2648458	-0.4445222	-0.1158311	
0.0128	-0.2656279	-0.4457146	-0.1162695	
0.01285	-0.2664085	-0.4469036	-0.1167076	
0.0129	-0.2671875	-0.4480892	-0.1171454	
0.01295	-0.2679651	-0.4492713	-0.1175828	
0.013	-0.2687412	-0.4504501	-0.1180198	
0.01305	-0.2695158	-0.4516255	-0.1184565	
0.0131	-0.2702889	-0.4527975	-0.1188929	
0.01315	-0.2710606	-0.4539661	-0.1193289	
0.0132	-0.2718308	-0.4551314	-0.1197645	
0.01325	-0.2725995	-0.4562932	-0.1201998	
0.0133	-0.2733667	-0.4574518	-0.1206347	
0.01335	-0.2741326	-0.458607	-0.1210693	
0.0134	-0.2748969	-0.4597588	-0.1215036	
0.01345	-0.2756599	-0.4609074	-0.1219374	
0.0135	-0.2764214	-0.4620526	-0.122371	
0.01355	-0.2771814	-0.4631945	-0.1228042	
0.0136	-0.2779401	-0.4643331	-0.123237	
0.01365	-0.2786973	-0.4654684	-0.1236695	
0.0137	-0.2794531	-0.4666004	-0.1241017	
0.01375	-0.2802075	-0.4677291	-0.1245335	
0.0138	-0.2809606	-0.4688546	-0.124965	
0.01385	-0.2817122	-0.4699768	-0.1253961	
0.0139	-0.2824624	-0.4710957	-0.1258269	
0.01395	-0.2832113	-0.4722114	-0.1262573	
0.014	-0.2839588	-0.4733238	-0.1266874	
0.01405	-0.2847049	-0.474433	-0.1271171	
0.0141	-0.2854497	-0.475539	-0.1275465	
0.01415	-0.286193	-0.4766417	-0.1279756	
0.0142	-0.2869351	-0.4777413	-0.1284043	
0.01425	-0.2876758	-0.4788376	-0.1288327	
0.0143	-0.2884151	-0.4799308	-0.1292607	
0.01435	-0.2891531	-0.4810207	-0.1296885	
0.0144	-0.2898898	-0.4821075	-0.1301158	
0.01445	-0.2906252	-0.4831911	-0.1305429	
0.0145	-0.2913592	-0.4842715	-0.1309696	
0.01455	-0.292092	-0.4853488	-0.1313959	
0.0146	-0.2928234	-0.4864229	-0.1318219	
0.01465	-0.2935535	-0.4874938	-0.1322476	
0.0147	-0.2942823	-0.4885616	-0.132673	
0.01475	-0.2950098	-0.4896263	-0.133098	
0.0148	-0.2957361	-0.4906879	-0.1335227	
0.01485	-0.296461	-0.4917463	-0.133947	
0.0149	-0.2971847	-0.4928017	-0.1343711	
0.01495	-0.2979071	-0.4938539	-0.1347948	
0.015	-0.2986283	-0.4949031	-0.1352181	
0.01505	-0.2993481	-0.4959491	-0.1356412	
0.0151	-0.3000668	-0.4969921	-0.1360638	
0.01515	-0.3007842	-0.498032	-0.1364862	
0.0152	-0.3015003	-0.4990688	-0.1369083	
0.01525	-0.3022152	-0.5001026	-0.13733	
0.0153	-0.3029289	-0.5011333	-0.1377514	
0.01535	-0.3036413	-0.5021609	-0.1381724	
0.0154	-0.3043526	-0.5031856	-0.1385932	
0.01545	-0.3050626	-0.5042071	-0.1390136	
0.0155	-0.3057714	-0.5052257	-0.1394337	
0.01555	-0.3064789	-0.5062413	-0.1398534	
0.0156	-0.3071853	-0.5072538	-0.1402729	
0.01565	-0.3078905	-0.5082633	-0.140692	
0.0157	-0.3085945	-0.5092698	-0.1411108	
0.01575	-0.3092973	-0.5102734	-0.1415292	
0.0158	-0.3099989	-0.5112739	-0.1419474	
0.01585	-0.3106993	-0.5122715	-0.1423652	
0.0159	-0.3113986	-0.5132661	-0.1427827	
0.01595	-0.3120967	-0.5142578	-0.1431999	
0.016	-0.3127936	-0.5152465	-0.1436168	
0.01605	-0.3134894	-0.5162322	-0.1440333	
0.0161	-0.3141841	-0.517215	-0.1444496	
0.01615	-0.3148776	-0.5181948	-0.1448655	
0.0162	-0.3155699	-0.5191717	-0.1452811	
0.01625	-0.3162611	-0.5201457	-0.1456964	
0.0163	-0.3169512	-0.5211168	-0.1461113	
0.01635	-0.3176402	-0.522085	-0.146526	
0.0164	-0.318328	-0.5230502	-0.1469403	
0.01645	-0.3190147	-0.5240126	-0.1473543	
0.0165	-0.3197003	-0.524972	-0.1477681	
0.01655	-0.3203848	-0.5259286	-0.1481815	
0.0166	-0.3210682	-0.5268823	-0.1485945	
